Using report1.sqlite for SQL queries.
Running [/nfs/c3po/software/spack/opt/spack/linux-ubuntu20.04-x86_64/gcc-9.3.0/cuda-11.6.0-bs5m5wvrn6c236edh2l3yr6bajgkhz72/nsight-systems-2021.5.2/target-linux-x64/reports/nvtxsum.py report1.sqlite]... 

 Time (%)  Total Time (ns)  Instances    Avg (ns)      Med (ns)     Min (ns)    Max (ns)   StdDev (ns)   Style                                         Range                                       
      0.3        149459373          6    24909895.5    24663969.5        1823    50070035   27286705.3  PushPop  TSL:XlaCompileGpuAsm:#module=jit_integer_pow#                                     
      0.3        148575110          3    49525036.7    49155644.0    48187411    51232055    1555571.4  PushPop  TSL:XlaCompileGpuAsm:#module=jit_multiply#                                        
      0.3        138309717          1   138309717.0   138309717.0   138309717   138309717          0.0  PushPop  TSL:XlaPassPipeline:#name=post-layout_assignment,module=jit_wrapper,program_id=42#
      0.2        125035850          1   125035850.0   125035850.0   125035850   125035850          0.0  PushPop  TSL:XlaPassPipeline:#name=fusion,module=jit__normal,program_id=6#                 
      0.2        122799516          1   122799516.0   122799516.0   122799516   122799516          0.0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit__normal,program_id=6#                
      0.2        117375676         37     3172315.6     2227256.0      521637    15847921    3157395.2  PushPop  TSL:XlaPass:#name=algsimp,module=jit_wrapper,program_id=42#                       
      0.2        115720321         37     3127576.2     2212057.0      512159    15387520    3072139.3  PushPop  TSL:XlaPass:#name=algsimp,module=jit_wrapper,program_id=14#                       
      0.2        109340829          3    36446943.0    53313315.0     1447601    54579913   30316934.6  PushPop  TSL:XlaCompile:#module=jit_broadcast_in_dim#                                      
      0.2        106885760          1   106885760.0   106885760.0   106885760   106885760          0.0  PushPop  TSL:XlaCompileBackend:#module=jit__normal,program_id=4#                           
      0.2        101830069          1   101830069.0   101830069.0   101830069   101830069          0.0  PushPop  TSL:XlaCompileBackend:#module=jit__normal,program_id=5#                           
      0.2        100707134          1   100707134.0   100707134.0   100707134   100707134          0.0  PushPop  TSL:XlaCompileBackend:#module=jit__normal,program_id=6#                           
      0.2        100539347          3    33513115.7    49635252.0        1624    50902471   29028718.8  PushPop  TSL:XlaCompileGpuAsm:#module=jit_broadcast_in_dim#                                
      0.2         94676508          1    94676508.0    94676508.0    94676508    94676508          0.0  PushPop  TSL:XlaPassPipeline:#name=hlo normalization,module=jit_wrapper,program_id=14#     
      0.2         93617643          1    93617643.0    93617643.0    93617643    93617643          0.0  PushPop  TSL:XlaPassPipeline:#name=hlo normalization,module=jit_wrapper,program_id=42#     
      0.2         92853507          1    92853507.0    92853507.0    92853507    92853507          0.0  PushPop  TSL:XlaCompile:#module=jit_tree_bias_correction#                                  
      0.2         89520146          1    89520146.0    89520146.0    89520146    89520146          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_tree_bias_correction,program_id=30#             
      0.2         85327600          1    85327600.0    85327600.0    85327600    85327600          0.0  PushPop  TSL:XlaCompileBackend:#module=jit_convert_element_type,program_id=0#              
      0.2         82247879          1    82247879.0    82247879.0    82247879    82247879          0.0  PushPop  TSL:XlaPass:#name=gemm-algorithm-picker,module=jit_wrapper,program_id=42#         
      0.2         81867359          1    81867359.0    81867359.0    81867359    81867359          0.0  PushPop  TSL:XlaPassPipeline:#name=GPU-ir-emit-prepare,module=jit_wrapper,program_id=42#   
      0.2         81200326          1    81200326.0    81200326.0    81200326    81200326          0.0  PushPop  TSL:XlaCompile:#module=jit__std#                                                  
      0.2         81188795          1    81188795.0    81188795.0    81188795    81188795          0.0  PushPop  TSL:XlaPassPipeline:#name=GPU-ir-emit-prepare,module=jit_wrapper,program_id=14#   
      0.2         80826639          1    80826639.0    80826639.0    80826639    80826639          0.0  PushPop  TSL:XlaPassPipeline:#name=fusion,module=jit__threefry_split,program_id=2#         
      0.1         79341537          1    79341537.0    79341537.0    79341537    79341537          0.0  PushPop  TSL:XlaBufferAssignment:#module=jit_wrapper,program_id=42#                        
      0.1         78393212          1    78393212.0    78393212.0    78393212    78393212          0.0  PushPop  TSL:XlaPass:#name=priority-fusion,module=jit__threefry_split,program_id=2#        
